Opened at,Open quote,Closed at,Close quote,Stop,Quantity,P/L,Return,Equity
2024-01-16T01:15:00,145.93,2024-01-16T09:45:00,146.59,,-1,-0.452,-0.454%,135.457
2024-01-16T10:00:00,146.54,2024-01-16T13:45:00,146.34,,-1,0.134,0.134%,135.569
2024-01-16T17:30:00,147.23,2024-01-17T00:00:00,147.24,,-1,-0.006,-0.006%,135.542
2024-01-17T01:45:00,147.21,2024-01-17T02:00:00,147.19,,-1,0.011,0.011%,135.533
2024-01-17T03:15:00,147.33,2024-01-19T21:45:00,148.15,,-1,-0.555,-0.558%,134.958
2024-01-21T22:30:00,148.16,2024-01-23T03:00:00,148.22,,-1,-0.039,-0.039%,134.896
2024-01-23T06:45:00,147.63,2024-01-23T07:45:00,147.67,,-1,-0.028,-0.028%,134.848
2024-01-23T11:15:00,147.76,2024-01-23T12:45:00,148.04,,-1,-0.189,-0.189%,134.639
2024-01-23T13:45:00,147.95,2024-01-23T14:45:00,148.29,,-1,-0.227,-0.228%,134.392
2024-01-23T15:00:00,148.33,2024-01-24T08:45:00,147.54,,-1,0.541,0.538%,134.912
2024-01-25T04:00:00,147.65,2024-01-25T14:15:00,147.12,,-1,0.360,0.358%,135.249
2024-01-25T19:00:00,147.84,2024-01-26T00:00:00,147.72,,-1,0.082,0.082%,135.309
2024-01-26T00:45:00,147.65,2024-01-26T13:15:00,147.71,,-1,-0.037,-0.037%,135.253
2024-01-30T09:45:00,147.38,2024-01-30T10:00:00,147.39,,1,0.005,0.005%,135.238
2024-01-30T12:30:00,147.35,2024-01-30T12:45:00,147.44,,1,0.065,0.065%,135.283
2024-01-30T13:30:00,147.48,2024-01-30T13:45:00,147.49,,1,0.007,0.007%,135.270
2024-01-30T15:00:00,147.20,2024-01-30T18:45:00,147.82,,1,0.417,0.419%,135.667
2024-01-30T19:00:00,147.77,2024-01-30T19:15:00,147.71,,1,-0.038,-0.038%,135.611
2024-01-30T23:00:00,147.60,2024-01-30T23:30:00,147.54,,1,-0.044,-0.044%,135.547
2024-01-31T00:15:00,147.31,2024-01-31T07:15:00,147.77,,1,0.317,0.318%,135.844
2024-01-31T07:30:00,147.71,2024-01-31T08:45:00,147.47,,1,-0.165,-0.165%,135.659
2024-01-31T09:00:00,147.45,2024-01-31T09:30:00,147.45,,1,-0.005,-0.005%,135.634
2024-01-31T11:45:00,147.79,2024-01-31T12:00:00,147.84,,1,0.036,0.036%,135.650
2024-01-31T12:30:00,147.83,2024-02-02T21:45:00,148.37,,1,0.363,0.365%,135.993
2024-02-04T22:30:00,148.43,2024-02-06T18:00:00,147.92,,1,-0.344,-0.343%,135.631
2024-02-07T05:15:00,147.98,2024-02-07T10:30:00,148.04,,-1,-0.044,-0.044%,135.568
2024-02-08T03:45:00,148.34,2024-02-09T21:45:00,149.28,,1,0.630,0.634%,136.178
2024-02-11T22:30:00,149.26,2024-02-16T21:45:00,150.18,,1,0.615,0.618%,136.777
2024-02-18T22:30:00,150.09,2024-02-23T21:45:00,150.51,,1,0.276,0.277%,137.037
2024-02-25T22:30:00,150.42,2024-02-28T15:30:00,150.74,,1,0.211,0.211%,137.229
2024-02-28T15:45:00,150.76,2024-02-28T16:00:00,150.81,,1,0.034,0.034%,137.243
2024-02-29T02:30:00,149.90,2024-02-29T21:45:00,149.95,,1,0.035,0.035%,137.258
2024-02-29T23:45:00,150.12,2024-03-01T00:00:00,150.07,,1,-0.031,-0.031%,137.206
2024-03-01T01:00:00,150.22,2024-03-01T01:15:00,150.30,,1,0.054,0.054%,137.240
2024-03-01T09:00:00,150.65,2024-03-01T10:00:00,150.63,,-1,0.017,0.017%,137.237
2024-03-01T13:15:00,150.59,2024-03-01T13:30:00,150.61,,-1,-0.015,-0.015%,137.202
2024-03-01T14:00:00,150.64,2024-03-01T14:45:00,150.65,,-1,-0.005,-0.005%,137.177
2024-03-01T15:45:00,150.18,2024-03-01T21:45:00,150.13,,1,-0.031,-0.031%,137.126
